10,海外,周庭氏ら香港活動家4人、民主派団体を脱退,https://image.news.livedoor.com/newsimage/stf/d/7/d7fc8_1351_b095c13d_b9e013b8-m.jpg,【AFP＝時事】中国の全国人民代表大会（National People's Congress、全人代、国会に相当）常務委員会が香港国家安全維持法案を可決したことを受け、民主活動家の周庭（アグネス・チョウ、Agnes Chow）氏や黄之鋒（ジョシュア・ウォン、Joshua Wong）氏らは30日、所属していた政治団体「香港衆志（デモシスト、Demosisto）」から脱退すると発表した。法律施行による同団体への取り締まりを避ける狙いとみられる。　脱退を表明したのは周氏、黄氏、羅冠聰（ネイサン・ロー、Nathan Law）氏、ジェフリー・ゴー（Jeffrey Ngo）氏の4人。香港衆志は普通選挙の実施を呼び掛ける運動を行っていたほか、中国当局による人権侵害に対して各国に制裁を求める活動を行っており、中国政府の怒りを買っていた。　4人は全員、今後も個人として活動を続ける意向を示している。黄氏はフェイスブック（Facebook）に「当局が私を黙らせ、この地から排除するまで、私の家である香港を守り続ける」と投稿した。　2014年の民主化デモ「雨傘運動（Umbrella Movement）」のリーダーでもあった黄氏と羅氏は、今年9月の立法会（議会）選挙に出馬している。　立法会の選挙は親中派が過半数を取りやすい仕組みとなっているが、民主派政党は、中国政府の統制に対する市民の怒りの高まりに乗じ、獲得可能な議席のほとんどを手中に収めたいと望んでいる。　香港衆志は香港の独立を主張していないものの、黄氏のような活動家らは、日常的に中国国営メディアから「分離派」と悪者扱いされている。黄氏は自身の抗議活動によって禁錮刑を受けたこともある。　人権団体などは、民主派活動家や団体を弾圧するために国家安全法が恣意的に利用される恐れがあると懸念している。同法の具体的な内容は明らかにされていないが、中国政府は国家転覆や分離を目指す行為、テロ、外国勢力との共謀といった行為を取り締まるとしている。【翻訳編集】AFPBB News■関連記事・トランプ氏「私がいなければ香港は14分で壊滅」・香港民主派と親中派、人気ゲーム「GTAオンライン」で衝突 思想戦に発展・ズーム、会議閉鎖とアカウント停止は「中国の要求に応じた」
11,海外,北欧上空の大気中の放射線量が急上昇か 露の原発が損傷した可能性,null,"ヨーロッパ北部・スカンジナビア半島付近で人工の放射性同位体が発見され、大気中の放射線量が急上昇しているという報告が挙がっています。AP通信は、ロシアにある原子力発電所が損傷した可能性があると報じています。Radioactivity hike seen in northern Europe; source unknown https://apnews.com/16ce7ced2b5b98974e0cc4437b14bf44Mysterious radiation spike detected over Scandinavia | Live Science https://www.livescience.com/spike-in-radioactivity-detected-above-europe.htmlフィンランド・ノルウェー・スウェーデンの放射線および原子力安全監視機関は、スカンジナビア南部や北極圏に流れてきた雲から、人や環境に影響がない程度に少量の放射性同位体を発見したと報告しました。また、包括的核実験禁止条約機関準備委員会(CTBTO)のラッシーナ・ゼルボ事務局長は6月26日にTwitterで「スウェーデン当局の放射線監視センサーが、ヨーロッパ北西部空域でセシウム134・セシウム137・ルテニウム103のわずかな増加を検出した」とあらためて発表しました。22 /23 June 2020, RN #IMS station SEP63 #Sweden???????? detected 3isotopes; Cs-134, Cs-137 & Ru-103 associated w/Nuclear fission @ higher[ ] than usual levels (but not harmful for human health). The possible source region in the 72h preceding detection is shown in orange on the map. pic.twitter.com/ZeGsJa21TN— Lassina Zerbo (@SinaZerbo) June 26, 2020 さらに、オランダの国立公衆衛生環境研究所は、「観測データを分析した結果、放射性同位体がロシア西部からやってきていることが示された」と2020年6月26日に発表。国立公衆衛生環境研究所は、放射性同位体は天然に存在するものではなく人工のものだったことから、原子力発電所の燃料部分が損傷している可能性を示唆しましたが、測定数が限られているため、放射性同位体の発生場所を特定できないと述べました。損傷した可能性があるとみられる原子力発電所として、コラ原子力発電所とレニングラード原子力発電所が挙げられています。特にレニングラード原子力発電所は、1986年に事故を起こしたチェルノブイリ原子力発電所と同型の原子炉が4基設置されており、施設の老朽化が問題となっていました。by Alexey Danichevしかし、ロシアの国営通信社であるイタルタス通信によれば、ロシアの原子力発電事業者であるロスエネルゴアトムは、「コラ原子力発電所とレニングラード原子力発電所は2020年6月に至るまで変化がなく、放射線量の増加には関係ない」と主張しました。北欧地域上空に放射性同位体を含む雲が流れてくるのは今回が初めてではありません。2017年には通常レベルの1000倍にもなるルテニウム106が検出されたことが報じられています。この時もロシアの核再処理施設が原因ではないかと推測されましたが、ロシアは否定しています。なお、スウェーデン放射線安全局は2020年6月23日に、「放射線量の急上昇は何が原因で起こっているかは現時点で確認不可能」と報告し、放射性同位体を含む雲がどこからやってきたかも不明であるとしています。ゼルボ事務局長もTwitterで「発生源の可能性が高い地域を示すことはできますが、正確な発生源を特定することはCTBTOの権限外です」と語りました。These isotopes are most likely from a civil source. We are able to indicate the likely region of the source, but it’s outside the CTBTO’s mandate to identify the exact origin.— Lassina Zerbo (@SinaZerbo) June 26, 2020"
12,IT経済,“巣ごもり消費”で「脱毛器」人気、ヤフーショッピング上半期トップに,https://image.news.livedoor.com/newsimage/stf/b/2/b2fb5_1562_5c23c1c4_d817bb19-m.jpg,　新型コロナウイルスの感染拡大を防ぐため、外出を自粛することが多かった2020年上半期。ネット通販の利用頻度が高くなった機会でもあった。Yahoo!ショッピングでは、19年の年間売上で10位だった脱毛器が1位に上ってくるなど、需要にも変化があったようだ。　Yahoo!ショッピングが発表した20年上半期の売上ランキングによると、1位は「ケノン 脱毛器」だった。外出自粛や休業要請によって、店舗に行くことが難しいからこそ、自身でケアするために購入したとみられる。　2位についたのは、品薄状態が続く家庭用ゲーム機「Nintendo Switch」本体。中古品が新品の取引価格を上回るほど需要が高い商品だ。3位は「ドクターエア 3Dスーパーブレード」で、在宅勤務などによる運動不足解消を目的に購入する人が多かったのかもしれない。　4位には、Appleの完全ワイヤレスイヤホン「Air Pods Pro」。5位には、シャープの空気清浄機が入った。同製品は、19年の年間ランキングで42位。過ごす時間の増えた自宅の空気をキレイに保とうと、注目が集まった。　このほか、外食が減ったためか、時短調理に役立つ圧力鍋やフライパンのセットなどが人気。美容家電やダイエットグッズ、健康器具など、自宅で使うことを想定した商品が上位に入る結果になった。コロナ禍で求められる新しい生活様式に沿った傾向が表れたようだ。（BCN・南雲 亮平）
13,IT経済,Zoom、会議用のバーチャル背景管理など機能強化 - iOS版はApple IDサインインに対応,null,米Zoomは6月29日(現地時間)、PC用クライアントとモバイルアプリの最新バージョンを発表。バーチャル背景機能を強化し、Web会議やウェビナー向けに、管理者がバーチャル背景を追加/ロックできるようにした。またPC用クライアントでは、同じデバイスを複数ユーザーが使っている場合、アップロードされた背景はサインインしているユーザー固有のものになる。Zoomクライアント(macOS用Ver.5.1.1)ZoomのバージョンWindows用：Ver.5.1.1 (28546.0628)macOS用：Ver.5.1.1 (28575.0629)Linux用：Ver.5.1.418436.0628iOS用：未定(アップルの承認が必要なため、App Storeへの表示には数日かかる)Android用：5.1.1 (28573.0629)PC用(Windows、macOS、Linux)クライアントでは、ユーザーがZoomにアップロードしたバーチャル背景は同じデバイス上のユーザー間で共有されず、ユーザー固有のものになるようにした。このため、同じデバイスでサインインする他のユーザーのZoomクライアント設定には、ユーザーがアップロードしたバーチャル背景が表示されなくなる。PC用クライアントとiOSアプリは、会議やウェビナー(オンラインセミナー)向けの新機能として、グループでアカウントを管理している管理者がバーチャル背景を追加したりロックしたりできるようにした。管理者がバーチャル背景の設定をロックした場合、ユーザーは管理者が追加した背景とZoomのデフォルト背景のみ使用でき、ユーザーが独自の背景を追加することはできない。なお、この設定はZoom Ver.5.1.1が必要となる。macOS用クライアントはすべての仮想カメラをサポートし、Zoomで使う前に仮想カメラを承認する必要がなくなった。iOSアプリでは、新たにApple IDを使ったZoomへのサインインをサポート。また、参加者が画面を共有しているときにアクティブな発言者のビューが最新の発言者に更新されない不具合や、設定が無効になっていてもZoomアプリがデバイスのオーディオに接続する不具合を修正している。このほか、すべてのOS向けのチャット機能において、グループ外のユーザーとやりとりするときのプライバシー保護を強化。また、共有ファイルのダウンロードが成功/失敗したときに、プッシュ通知を受信できるようにした。Linux版以外では、新たにイタリア語とベトナム語をサポートする。
14,IT経済,ピーチ航空、94億円の赤字　コロナで需要が大幅減少,null,　格安航空会社（LCC）のピーチ・アビエーション（大阪府田尻町）が30日公表した2020年3月期決算（単体）は、純損益が94億円の赤字だった。新型コロナウイルス感染拡大で今年に入ってから需要が大幅に減少したことが響いた。赤字は2年連続で、赤字幅は11年の会社設立以来最大となった。　ピーチは21年3月期の業績予想を公表していない。直近では国内線の全路線の運航を再開し、利用者が戻りつつあるが、コロナ禍前の水準に回復するのは程遠く、厳しい経営環境が続くのは避けられない見通しだ。　売上高は同じLCCのバニラ・エアとの統合効果で前期比17.6％増の710億円だった。
15,IT経済,韓国がWTOに提訴の日韓貿易紛争 米が日本側主張に沿った意見表明,https://image.news.livedoor.com/newsimage/stf/b/1/b158e_1596_5c19be70_b33b6d96-m.jpg,　【ロンドン時事】日本政府による半導体材料の輸出管理強化をめぐり、韓国が世界貿易機関（ＷＴＯ）に提訴した貿易紛争で、米国は２９日のＷＴＯ会合で日本への支持を鮮明にした。　米国は「日本の措置が安全保障を考慮している限り、この問題のＷＴＯによる裁定は不適切だ」と、日本側の主張に沿った意見を表明した。　韓国は会合で日本の措置を「政治的動機に基づく貿易制限だ」として、一審に当たる紛争処理小委員会（パネル）の設置を求めた。これに対し日本は「軍事転用されないように適切に管理するのが目的」と述べ、設置に反対した。　ＷＴＯのルールでは、関税貿易一般協定（ＧＡＴＴ）２１条で安全保障に関わる輸出管理が例外として認められている。　関係筋によると、米国はＷＴＯとは別の場で問題を解決するよう日韓両国に要請。「それが不可能な場合は、ＷＴＯ事務局長か第三国による調停を模索すべきだ」と訴え、パネル設置に否定的な見解を示した。　今回は日韓がそれぞれの立場を説明するにとどまり、７月２９日の次回会合でパネル設置が再び議論される。パネルは全加盟国・地域が反対しなければ設置されるため、韓国が提訴を取り下げない限りは設置される見通しだ。　
16,IT経済,ブラック企業経験者が転職時に気を付けること「募集内容を細かくチェック」「口コミサイトを利用する」,null,キャリアバンクは6月30日、「ブラック企業から転職する際に、どのような点に気をつけて会社選びを実施したか」についてのアンケート結果を発表した。調査は6月25〜29日に実施し、ブラック企業経験者187人から回答を得た。ブラック企業への転職を避けるためにどのような対策を取ったかを聞くと、1位は「募集内容を細かくチェックする」（31.0％）だった。「企業サイトなどの情報は自社にとって有利なように作成できてしまう」募集内容を細かくチェックすることは約3人に1人が行っているということだが、ブラック企業に在籍していたときに苦痛に感じていたポイントと照らし合わせる人が多いようだ。具体的には、「以前在籍していた会社は、残業代をまともに出してもらえない会社だったので、残業代をきちんと出してくれるという点を特に重視しました。ワークライフバランスや福利厚生などの条件はある程度目をつむることにしました」「ブラック企業に入る前は、自分のやりたい仕事や給料をメインに会社選びを考えていましたが、ブラック企業の経験を経て、仕事内容は二の次でしっかりと休める会社かどうかを重視するようになりました」 といった声が寄せられている。2位は「口コミサイトを利用する」（15.5％）。企業サイトや求人サイトの内容だけでなく、口コミサイトに掲載されている内容もリサーチするようになったという人は、その理由として、「企業のホームページや求人サイトに掲載されている情報は自社にとって有利なように作成できてしまうからです」と語る。企業サイトでは知りえないマイナス面や職場の人間関係などを調べている人が多いようだ。散らかっている職場はブラック企業の可能性が高い？3位は「選考時に質問・確認する」（15.0％）。中には「私は過去の経験から『職場が散らかっている＝片付ける余裕（時間・気力）すらないため、ブラック企業の可能性が高い』と考えています」という持論を持つ人から、「そのため、面接で企業に訪問する際は、職場を見せてもらい、ある程度きれいに整理されているかを確認するようにしています」といった声も挙がっている。4位以降は、「知人に話を聞く・紹介してもらう」（9.6％）、「転職エージェントに相談する」（5.3％）、「ブラック企業が多いとされる業界は避ける」（4.8％）、「同族経営の企業は避ける」（4.3％）と続いた。
17,芸能,竹内結子と中林大樹が高級ベビーカーでお買い物 幸せな新婚姿,https://image.news.livedoor.com/newsimage/stf/7/0/70391_1643_dcd633b97eda1bb822011c8cee72e247-m.jpg,目撃！ハリコミ24都内　17時50分ラフな姿で買い物中の竹内夫妻。ベビーカーは滝川クリステルも愛用するドイツの高級ブランドである　梅雨入り間近の６月上旬夕方、東京アラートも解除され、都内の商店街は活気を取り戻しつつあった。その中で、ひときわオーラが漂う美男美女のカップルがベビーカーを押していた。一般人とは異なる端整な顔立ちは、マスクの上からでも容易に見て取れる。　談笑する仲睦(なかむつ)まじい夫婦は、女優の竹内結子(40)と俳優の中林大樹(35)だ。ベビーカーには、今年１月下旬に生まれたばかりの次男の姿もある。新婚ホヤホヤだけに中林の薬指には結婚指輪がキラリと輝いていた。「同じ事務所に所属する二人は、’09年に公開された竹内の主演映画『ジェネラル・ルージュの凱旋』での共演がきっかけで知り合い、数年前から交際がスタートしました。結婚は前夫との間にもうけた中学生の長男の後押しがあったようで、昨年２月に再婚したばかりです」（大手芸能プロ関係者）　竹内は映画『コンフィデンスマンＪＰプリンセス編』に出演。コロナ禍で公開が延期していたが、いよいよ来月23日に封切りとなった。　公私ともに順風満帆な竹内。この２年で家族も増え、幸せの絶頂期だ。本誌未掲載カット　竹内結子＆中林大樹　新婚ホヤホヤ！　高級ベビーカーでお買い物本誌未掲載カット　竹内結子＆中林大樹　新婚ホヤホヤ！　高級ベビーカーでお買い物PHOTO:山田宏次郎
18,芸能,「ビートたけしが送ったプレゼント」勝俣州和が明かす芸能人の優しい話,https://image.news.livedoor.com/newsimage/stf/2/f/2f61e346f527351242e86f68cd191f28-m.jpg,　6月25日、勝俣州和が自身のYouTubeチャンネルに動画を投稿しました。「優しい人」をテーマに木梨憲武やビートたけしのエピソードなどを語っています。　木梨憲武が和田アキ子のマネージャーの息子の誕生日に企画したサプライズや、ビートたけしがペットをなくして悲しみに暮れていた岸本加世子に送ったプレゼントを明かしました。　余談としてランチパックや侍のちょんまげに隠された「優しさ」についても紹介し、動画の最後には萩本欽一の言葉を引用して「悲しむ人と同じ歩幅で歩くのが優しい人」だと話しました。＜◆時間メモ＞※YouTubeページにジャンプします・アマビエのフィギュアが教えてくれた「優しさ」・和田アキ子から聞いた木梨憲武の優しい話・ランチパックの優しい話・ちょんまげの優しい話・久本雅美から聞いたビートたけしの優しい話・「優しい人」とは                                                                               「勝俣州和」をもっと詳しく                                                                                                                        松本人志は筋トレで変わってしまった？勝俣州和「あんな人じゃなかった」                      ウンナンと仕事したら、とんねるずと共演NG…タブー打ち破った勝俣州和                      勝俣州和の「食べ方のクセ」に驚き 具材を別々に分けて食べる
19,芸能,カズレーザーのデート報道が話題 赤い服を手にとる姿に「芸人の鑑」,null,6月30日に『FLASH』にて報道された、お笑い芸人・カズレーザー（メイプル超合金）のデートの様子が話題となっている。『FLASH』は、＜カズレーザー、美人元棋士と「赤い紅い」デート現場＞と報道。普段から赤い服しか着ない、と公言しているカズレーザー。デート報道でも、足元からマスクまで全身赤ずくめで現れたカズレーザーが撮影されている。そして、デート相手は元女流棋士でタレントとしても活躍する竹俣紅（22）であり、相手の名前まで“赤かった”と煽っている。 さらに、2人でショッピングを楽しんでいるデート中の写真では、全身赤ずくめのカズレーザーが、さらに赤い洋服を手にとって選んでいる1枚も。残念ながら交際はしていないとカズレーザーからコメントしているが、この目立ちすぎるデート報道にSNSでは、・全く隠す気0で凄い・カズレーザーと竹俣紅のデート報道の写真、ただでさえ全身真っ赤なのに更に赤い服買おうとしてるの芸人の鑑すぎて笑う デートじゃなくてロケかコントにしか見えない・一緒にいる女性の名前まで紅なんてキャラ守りすぎ。 ・赤ずくめに赤いマスク、ワインバーへ行って赤い服を見て赤坂へと向かった、そのお相手が竹俣紅さん。 コント通り越して、世にも奇妙な物語の世界観ですよ。と、そのブレなさに驚きの声があがっている。また、「カズレーザーのデート報道、オフの日のシャアみたいで草」「デート中のカズレーザー、シャアの日常やん」と、アニメ「ガンダムシリーズ」の登場人物であるシャア・アズナブルをメインにしたギャグ漫画『シャアの日常』を思い出す人もいるなど、話題となっている。『シャアの日常』「わたしはいったい何者なんだ？」赤い流れ星が落ちた次の日の朝、とあるアパートの一室で目覚めた男は、それまでの記憶を全て失っていた。彼は「シャア」なのか? それとも単なる他人の空似か？ 謎が謎を呼ぶ? シャアの日常ほんわかストーリー。（C）Nanboku 2013 （C）創通・サンライズ※画像は月間ガンダムエースHPより。https://web-ace.jp/gundamace/ComicWalkerにて無料試し読み公開：https://comic-walker.com/contents/detail/KDCW_KS03000002010000_68/関連記事：カズレーザー　鼻フェチ過ぎて「堀田茜の鼻の形の氷でお酒を飲みたい」と願望を明かすhttps://getnews.jp/archives/2189347―― 表現する人、つくる人応援メディア 『ガジェット通信(GetNews)』
